model,accuracy,precision,recall,f1_score
Logistic Regression,0.8501216545012166,0.7145625423893034,0.8745404956717657,0.7864988802388824
Random Forest,0.8364963503649635,0.6808434914138268,0.9073876437803866,0.7779585197234649
